Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1
2021-06-12,47.622361449676625,1604.5006924256172,856.7544697921462,1020253,Huechuraba,Santiago
2021-06-13,-226.8954586584544,1329.525242577149,582.6614904716646,1020253,Huechuraba,Santiago
2021-06-14,-264.3719246564966,1304.8984532486775,502.0173513552045,1020253,Huechuraba,Santiago
2021-06-15,-172.2404205355093,1444.9232013631743,658.5501005509645,1020253,Huechuraba,Santiago
2021-06-16,20.990112181253235,1564.5556325924183,788.1367339414675,1020253,Huechuraba,Santiago
2021-06-17,139.01428787231612,1712.214025693051,934.509636854069,1020253,Huechuraba,Santiago
2021-06-18,194.92582320501484,1756.2183642524792,982.3093995820464,1020253,Huechuraba,Santiago
2021-06-19,-9.922958575320145,1601.0824815182964,825.8894122814723,1020253,Huechuraba,Santiago
2021-06-12,-393.78656601494293,494.66527818454796,21.672917382303282,1020042,Huechuraba,Santiago
2021-06-13,-687.6305203147865,265.14869055951954,-227.36597035222525,1020042,Huechuraba,Santiago
2021-06-14,-671.7506225290058,285.94238131886686,-181.37785605366247,1020042,Huechuraba,Santiago
2021-06-15,-284.4008844800838,666.9552074541346,184.44067040423909,1020042,Huechuraba,Santiago
2021-06-16,-284.1933575303214,629.2498391740663,192.66126400271446,1020042,Huechuraba,Santiago
2021-06-17,-337.73223406047083,620.6327755732303,162.98689859954538,1020042,Huechuraba,Santiago
2021-06-18,-302.5101858086753,672.1572783263942,207.86795684317104,1020042,Huechuraba,Santiago
2021-06-19,-413.24557999491424,529.5304285592181,57.46525366829634,1020042,Huechuraba,Santiago
2021-06-12,-54.00351801939318,2206.3027596853344,1017.2343296970546,1020027,Huechuraba,Santiago
2021-06-13,-656.9490076452724,1631.7248322594567,437.7642371889487,1020027,Huechuraba,Santiago
2021-06-14,-639.9649191637887,1666.2814029696156,494.70983887489433,1020027,Huechuraba,Santiago
2021-06-15,-10.498971532718208,2249.6283705562414,1145.6811139862489,1020027,Huechuraba,Santiago
2021-06-16,304.8559878606852,2512.8070961203307,1421.5667688220778,1020027,Huechuraba,Santiago
2021-06-17,133.94887313790136,2450.6398523589924,1388.3508393035245,1020027,Huechuraba,Santiago
2021-06-18,194.4426092261591,2487.7860732386725,1325.6227044401173,1020027,Huechuraba,Santiago
2021-06-19,-65.0381181617405,2286.0845686576736,1113.8164477813043,1020027,Huechuraba,Santiago
2021-06-12,-752.398486094676,4557.468008038216,1877.7099763874849,1020013,Huechuraba,Santiago
2021-06-13,-2271.189295366432,2807.1404666153885,187.4720482093726,1020013,Huechuraba,Santiago
2021-06-14,-1521.1156497425934,3476.3729988372916,996.432848583789,1020013,Huechuraba,Santiago
2021-06-15,-241.1083079847325,4778.812331016301,2183.4072018147795,1020013,Huechuraba,Santiago
2021-06-16,54.85163879758292,4860.749022731617,2411.4310340163356,1020013,Huechuraba,Santiago
2021-06-17,664.6180863412753,5553.606183711624,3052.1445438277715,1020013,Huechuraba,Santiago
2021-06-18,592.4436254022124,5532.184427756272,2986.146931760709,1020013,Huechuraba,Santiago
2021-06-19,-811.4223507457978,4414.627633513765,2030.8261452596594,1020013,Huechuraba,Santiago
2021-06-12,481.56694328444877,2741.7671621621544,1558.4653874486064,1020010,Huechuraba,Santiago
2021-06-13,-1179.9038087928657,1014.4602034521164,-107.71784234509778,1020010,Huechuraba,Santiago
2021-06-14,-42.1879473879007,2217.9340668720724,1100.5673527116442,1020010,Huechuraba,Santiago
2021-06-15,540.8672850894801,2698.0673787853857,1656.3025211842519,1020010,Huechuraba,Santiago
2021-06-16,839.3872790869916,2979.385570026266,1903.8973838386175,1020010,Huechuraba,Santiago
2021-06-17,875.4458813210315,3196.182563528375,2009.600010815801,1020010,Huechuraba,Santiago
2021-06-18,851.1540857190055,3076.409574333576,2006.3710279935835,1020010,Huechuraba,Santiago
2021-06-19,736.1210690109456,2959.109440064038,1834.0214038590307,1020010,Huechuraba,Santiago
2021-06-12,-558.1375839897132,1330.2443275827775,377.93405841687985,1020003,Huechuraba,Santiago
2021-06-13,-943.1940984625376,991.613188622205,7.91687699807747,1020003,Huechuraba,Santiago
2021-06-14,-1026.248067049997,933.0295905924083,-34.499597573211275,1020003,Huechuraba,Santiago
2021-06-15,-649.883096631115,1268.419426512712,327.7076507304184,1020003,Huechuraba,Santiago
2021-06-16,-561.318766476921,1221.1477575828899,385.27248906098043,1020003,Huechuraba,Santiago
2021-06-17,-194.9084103059746,1635.6884007889169,703.0559603655645,1020003,Huechuraba,Santiago
2021-06-18,-277.09274081217495,1577.512214181345,655.6458384819505,1020003,Huechuraba,Santiago
2021-06-19,-525.1755679506862,1390.073711655458,441.5798085519692,1020003,Huechuraba,Santiago
2021-06-12,-327.1033805348231,1485.1960844850173,618.3077726616294,1020001,Huechuraba,Santiago
2021-06-13,-1289.9795265946984,528.2856317292403,-397.4329641413246,1020001,Huechuraba,Santiago
2021-06-14,-655.6039765458156,1106.6934562304307,220.29252434180256,1020001,Huechuraba,Santiago
2021-06-15,-389.2644112301635,1491.7972069644368,579.3061200676575,1020001,Huechuraba,Santiago
2021-06-16,-372.66017589422745,1490.986444028231,554.8517929611338,1020001,Huechuraba,Santiago
2021-06-17,-269.4186238117591,1543.0940851405874,637.0531905943717,1020001,Huechuraba,Santiago
2021-06-18,-23.279752284837244,1767.7838201046063,859.618889805605,1020001,Huechuraba,Santiago
2021-06-19,-226.37537879028827,1542.811029179006,641.5386068666387,1020001,Huechuraba,Santiago
2021-06-12,-2461.352065758002,5212.601094645305,1501.4382108046693,1010695,Huechuraba,Santiago
2021-06-13,-2155.7560535293956,5339.52766741848,1572.4998291587945,1010695,Huechuraba,Santiago
2021-06-14,-2837.5245344924506,4802.669764415165,1101.0046768501286,1010695,Huechuraba,Santiago
2021-06-15,-1381.7384503037001,6090.0695520272975,2320.48398748834,1010695,Huechuraba,Santiago
