"Sector";"Material";"Tipo de cliente";"Zona de ventas";"Zona de ventas";"Oficina de Ventas Unifica";"Oficina de Ventas Unifica";"Mes";"Año natural/Semana";"Día natural";"Día de la semana";"Kilos Venta KG";"Venta Neta";"Precio Promedio"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"08.06.2021";"MA";"273";"697.541 CLP";"2.555 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"09.06.2021";"MI";"399";"1.024.724 CLP";"2.571 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"10.06.2021";"JU";"270";"689.736 CLP";"2.557 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"11.06.2021";"VI";"1.170";"2.711.356 CLP";"2.317 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"23.2021";"08.06.2021";"MA";"574";"1.452.716 CLP";"2.533 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"23.2021";"09.06.2021";"MI";"553";"1.408.246 CLP";"2.547 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"23.2021";"10.06.2021";"JU";"2.087";"5.220.119 CLP";"2.501 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"23.2021";"11.06.2021";"VI";"1.418";"3.575.880 CLP";"2.521 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Sucursal Miraflores";"T122";"6";"23.2021";"08.06.2021";"MA";"674";"1.707.515 CLP";"2.535 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Sucursal Miraflores";"T122";"6";"23.2021";"09.06.2021";"MI";"860";"2.160.197 CLP";"2.511 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Sucursal Miraflores";"T122";"6";"23.2021";"10.06.2021";"JU";"1.324";"3.158.070 CLP";"2.385 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Sucursal Miraflores";"T122";"6";"23.2021";"11.06.2021";"VI";"2.671";"6.621.486 CLP";"2.479 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"Coquimbo";"T166";"6";"23.2021";"08.06.2021";"MA";"340";"847.715 CLP";"2.496 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"Coquimbo";"T166";"6";"23.2021";"09.06.2021";"MI";"192";"499.668 CLP";"2.600 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"Coquimbo";"T166";"6";"23.2021";"10.06.2021";"JU";"133";"331.820 CLP";"2.504 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"Coquimbo";"T166";"6";"23.2021";"11.06.2021";"VI";"93";"238.119 CLP";"2.550 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"Hijuelas";"T114";"6";"23.2021";"08.06.2021";"MA";"271";"745.228 CLP";"2.747 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"Hijuelas";"T114";"6";"23.2021";"09.06.2021";"MI";"718";"1.879.330 CLP";"2.616 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"Hijuelas";"T114";"6";"23.2021";"10.06.2021";"JU";"112";"305.021 CLP";"2.726 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"Hijuelas";"T114";"6";"23.2021";"11.06.2021";"VI";"626";"1.670.454 CLP";"2.668 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"San Antonio";"T109";"6";"23.2021";"08.06.2021";"MA";"114";"278.797 CLP";"2.456 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"San Antonio";"T109";"6";"23.2021";"09.06.2021";"MI";"205";"496.913 CLP";"2.429 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"San Antonio";"T109";"6";"23.2021";"10.06.2021";"JU";"133";"329.132 CLP";"2.476 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"San Antonio";"T109";"6";"23.2021";"11.06.2021";"VI";"198";"455.114 CLP";"2.299 CLP"
