Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1,Tipo de cliente
2021-06-11,1423.4259790767496,4486.4395845063345,3005.838224944384,1020253,,Santiago,Tradicional
2021-06-12,972.0842687848719,4317.278773133124,2615.403076045985,1020253,,Santiago,Tradicional
2021-06-13,-118.20090971800319,3037.444835851648,1417.4276895833423,1020253,,Santiago,Tradicional
2021-06-14,-152.0406890855675,2966.133669360741,1513.0743558712827,1020253,,Santiago,Tradicional
2021-06-15,478.5308854318199,3791.734999839985,2137.679308732414,1020253,,Santiago,Tradicional
2021-06-16,811.6194572173514,3945.310745303203,2422.541501636575,1020253,,Santiago,Tradicional
2021-06-17,1042.2082968628858,4172.398608758575,2680.1432624897166,1020253,,Santiago,Tradicional
2021-06-11,-66.99505573240748,1420.2334387511673,696.3427700714977,1020042,,Santiago,Tradicional
2021-06-12,-343.7844219635833,1065.4317056144398,371.60665988742255,1020042,,Santiago,Tradicional
2021-06-13,-1269.2333811675169,196.67762487205306,-512.9255942365143,1020042,,Santiago,Tradicional
2021-06-14,-890.9898101117146,597.4353624394755,-161.11739382974793,1020042,,Santiago,Tradicional
2021-06-15,-291.8480994993166,1148.8425308419828,403.2509853361529,1020042,,Santiago,Tradicional
2021-06-16,-91.34552370935872,1380.7640288490084,606.9165820392184,1020042,,Santiago,Tradicional
2021-06-17,-267.5938129141458,1130.6820811965235,443.65090517227145,1020042,,Santiago,Tradicional
2021-06-11,1303.4507545461952,4577.058298395217,3045.8208213743173,1020027,,Santiago,Tradicional
2021-06-12,918.9664806238166,4132.603319582719,2409.4260274816093,1020027,,Santiago,Tradicional
2021-06-13,-1363.7342892615002,1795.1769698584142,213.5844154289034,1020027,,Santiago,Tradicional
2021-06-14,-469.0091190117379,2659.8404558961383,1005.1133722614115,1020027,,Santiago,Tradicional
2021-06-15,993.9660975954794,4258.636653371135,2545.9911866460216,1020027,,Santiago,Tradicional
2021-06-16,1374.5442475618163,4499.17424514234,2944.5739637149436,1020027,,Santiago,Tradicional
2021-06-17,1273.4608251040725,4610.396517485039,2908.9455584099387,1020027,,Santiago,Tradicional
2021-06-11,2343.624714007762,9759.992163008823,6251.9652286143255,1020013,,Santiago,Tradicional
2021-06-12,1199.6184708412607,8808.904832667564,5140.763569204659,1020013,,Santiago,Tradicional
2021-06-13,-3826.297719047599,3808.7612027790533,97.9305936216706,1020013,,Santiago,Tradicional
2021-06-14,-1132.8075860268764,6289.250300161169,2557.640640884957,1020013,,Santiago,Tradicional
2021-06-15,1561.8155012793518,8913.911181757026,5247.680788547711,1020013,,Santiago,Tradicional
2021-06-16,2064.0246785798354,9966.873929057563,6118.323534363388,1020013,,Santiago,Tradicional
2021-06-17,2558.7467029587706,10001.214519507472,6466.955826255642,1020013,,Santiago,Tradicional
2021-06-11,1596.116648115917,6289.974424413666,3960.0649451747718,1020010,,Santiago,Tradicional
2021-06-12,1590.3602189993735,5997.906136233621,3658.0834737661,1020010,,Santiago,Tradicional
2021-06-13,-1381.9127805239743,2967.0825950756475,810.7141515600799,1020010,,Santiago,Tradicional
2021-06-14,259.1496951057367,4569.510583881607,2317.0691928641945,1020010,,Santiago,Tradicional
2021-06-15,1460.7457461787437,5935.277737869592,3697.124491331257,1020010,,Santiago,Tradicional
2021-06-16,2004.6398593884605,6733.827704514228,4360.340966753145,1020010,,Santiago,Tradicional
2021-06-17,2203.9056005488133,6751.5634510171185,4533.547623023447,1020010,,Santiago,Tradicional
2021-06-11,-30.10999778399959,3141.948812682786,1599.9357029684425,1020003,,Santiago,Tradicional
2021-06-12,-248.6888011678082,3033.8048835718296,1409.0030743478856,1020003,,Santiago,Tradicional
2021-06-13,-2206.711076830032,951.791641396448,-577.3953571056028,1020003,,Santiago,Tradicional
2021-06-14,-1318.9116539099723,1881.3263530630145,292.8471095310528,1020003,,Santiago,Tradicional
2021-06-15,-479.0408901939913,2816.3110391157093,1049.3721789144276,1020003,,Santiago,Tradicional
2021-06-16,-55.140969531056996,3113.3347669382515,1504.2377928805195,1020003,,Santiago,Tradicional
2021-06-17,218.17602315786183,3343.294180926977,1830.780535146726,1020003,,Santiago,Tradicional
2021-06-11,1359.2286442593686,4371.559259455196,2981.61948849891,1020001,,Santiago,Tradicional
2021-06-12,763.6516601635182,3887.0252968620703,2296.8457589589134,1020001,,Santiago,Tradicional
2021-06-13,-1225.3471997489944,1992.0432175177057,325.40389274095287,1020001,,Santiago,Tradicional
2021-06-14,-375.73654173753295,2491.3258850465168,1043.2493954124452,1020001,,Santiago,Tradicional
2021-06-15,838.5390385917732,3958.8719503072316,2370.553381149972,1020001,,Santiago,Tradicional
2021-06-16,689.6571845371593,3793.690359938873,2270.3444852492976,1020001,,Santiago,Tradicional
2021-06-17,913.912883302366,3989.5918765633232,2402.0279844727447,1020001,,Santiago,Tradicional
2021-06-11,397.31506350582686,7488.111567404696,3925.155807762811,1010695,,Santiago,Tradicional
2021-06-12,302.0877778914053,7338.797243082414,3909.088490985557,1010695,,Santiago,Tradicional
2021-06-13,-796.1082648069917,6382.886356071214,2722.3125415600116,1010695,,Santiago,Tradicional
2021-06-14,-1028.7626551204417,5895.197408083141,2446.888970142216,1010695,,Santiago,Tradicional
2021-06-15,375.99328183936797,7249.459440335705,3695.236333828165,1010695,,Santiago,Tradicional
2021-06-16,1299.9761077304709,8462.279440759983,4973.13910486123,1010695,,Santiago,Tradicional
2021-06-17,1165.7907168694694,8218.35234740497,4780.091079202171,1010695,,Santiago,Tradicional
2021-06-11,2234.7766980556785,10792.116399600973,6324.255086476172,1010267,,Santiago,Tradicional
2021-06-12,-233.52002252983849,8798.819912847133,4147.941650893405,1010267,,Santiago,Tradicional
2021-06-13,-7596.531366120399,1469.6511598232928,-2999.305278384997,1010267,,Santiago,Tradicional
2021-06-14,-2847.0846466511475,5866.8836800576455,1566.8121769907839,1010267,,Santiago,Tradicional
2021-06-15,355.4563077859606,9634.614060861877,4986.269768558895,1010267,,Santiago,Tradicional
2021-06-16,-149.19215051332742,9226.675461163813,4911.548789975412,1010267,,Santiago,Tradicional
2021-06-17,1338.135154275743,9863.810296143944,5472.571814705046,1010267,,Santiago,Tradicional
2021-06-11,24091.041137511926,43183.41967813921,33865.86395441459,1010078,,Santiago,Tradicional
2021-06-12,15253.055194401644,34166.76422258118,24482.830820968367,1010078,,Santiago,Tradicional
2021-06-13,-2251.1986111364126,15557.002694455106,6827.435234161796,1010078,,Santiago,Tradicional
2021-06-14,6741.58266217004,25594.242896512438,15863.811684838178,1010078,,Santiago,Tradicional
2021-06-15,16889.102144871245,35595.864382180225,26095.800430025,1010078,,Santiago,Tradicional
2021-06-16,17882.72776762052,36963.44614733833,27347.60912853247,1010078,,Santiago,Tradicional
2021-06-17,20301.372239150234,39163.36623336744,30263.180996739662,1010078,,Santiago,Tradicional
2021-06-11,140.68255657866817,2387.145871133969,1305.7002608245516,1010077,,Santiago,Tradicional
2021-06-12,-124.71010211718824,2183.550522219041,1089.0928998976406,1010077,,Santiago,Tradicional
2021-06-13,-1773.6220915058145,630.1387463166071,-563.4918910246,1010077,,Santiago,Tradicional
2021-06-14,-877.16879506685,1524.8214786739895,390.81267690735126,1010077,,Santiago,Tradicional
2021-06-15,-611.8324664478935,1604.3503515394577,500.2917009709251,1010077,,Santiago,Tradicional
2021-06-16,-380.9504511645528,1938.8091500189466,816.4062531578977,1010077,,Santiago,Tradicional
2021-06-17,-7.295803050122911,2178.921297366237,1029.446132640239,1010077,,Santiago,Tradicional
2021-06-11,3801.4160792486914,15177.064124803985,9389.052566148946,1010048,,Santiago,Tradicional
2021-06-12,-551.3707818823465,11036.227725281527,5397.907833342442,1010048,,Santiago,Tradicional
2021-06-13,-11419.919005917562,83.61776104040194,-5943.776167526876,1010048,,Santiago,Tradicional
2021-06-14,-5240.5811528856075,5784.447637911817,94.70046427488705,1010048,,Santiago,Tradicional
2021-06-15,-1117.83176451133,10410.681532423985,5181.4640436893005,1010048,,Santiago,Tradicional
