Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1
2021-06-11,1795.381972824107,5715.661871860589,3834.752743538419,1020253,,Santiago
2021-06-12,1493.2876120379276,5290.919543758687,3309.589356860767,1020253,,Santiago
2021-06-13,-115.96439218583149,3669.470631646851,1733.7508035828996,1020253,,Santiago
2021-06-14,262.03244321598623,3988.0435445358603,2082.599738172643,1020253,,Santiago
2021-06-15,941.5860178303651,4752.005681660376,2873.4273149551295,1020253,,Santiago
2021-06-16,1287.895041258957,5306.308448525924,3197.2342679586955,1020253,,Santiago
2021-06-17,1657.3108938680436,5661.710726083289,3565.614142045752,1020253,,Santiago
2021-06-11,-113.06209734681032,1674.5987139927,794.9661732792824,1020042,,Santiago
2021-06-12,-463.93016186528695,1380.15120271362,453.7706028636481,1020042,,Santiago
2021-06-13,-1567.6122304024325,283.6664937374956,-665.501439264866,1020042,,Santiago
2021-06-14,-1059.3210870255118,682.7303626544519,-178.41035458909468,1020042,,Santiago
2021-06-15,-356.1586169539343,1443.195748537573,552.4275361975725,1020042,,Santiago
2021-06-16,-219.8484039949559,1667.5797097611226,694.7088196855912,1020042,,Santiago
2021-06-17,-388.15710670689396,1518.4898059960626,590.2626953690468,1020042,,Santiago
2021-06-11,2180.466901028278,6684.515975945639,4454.43127668528,1020027,,Santiago
2021-06-12,1515.8397304077594,5711.3098696265715,3556.1338212219384,1020027,,Santiago
2021-06-13,-1229.9690482827725,3019.2249562507855,916.8120448309994,1020027,,Santiago
2021-06-14,-249.34064568688422,4025.7270832456684,1851.0343127629897,1020027,,Santiago
2021-06-15,1590.1661363061057,5906.628358691517,3741.065656457719,1020027,,Santiago
2021-06-16,2169.6915393113673,6556.346717656237,4402.355121975901,1020027,,Santiago
2021-06-17,1956.1239783362707,6500.002405686653,4308.43719291844,1020027,,Santiago
2021-06-11,2150.7679255049256,13639.005669394282,7899.874178484468,1020013,,Santiago
2021-06-12,454.7478616266532,11578.857743395465,6035.09326721336,1020013,,Santiago
2021-06-13,-7523.514825607117,4383.494727895042,-1585.5391923321404,1020013,,Santiago
2021-06-14,-2952.5310578839913,7931.25812165304,2457.9883767903507,1020013,,Santiago
2021-06-15,-8.135850286978416,11471.972522634389,5933.755233041738,1020013,,Santiago
2021-06-16,1993.0625874630823,13863.783304013265,7928.8336619448255,1020013,,Santiago
2021-06-17,2951.2439744276594,14143.003318446226,8386.417999700776,1020013,,Santiago
2021-06-11,2615.469605451812,9907.42280519178,6201.577564526399,1020010,,Santiago
2021-06-12,961.3278501731704,8466.245588490825,4867.919466796496,1020010,,Santiago
2021-06-13,-2509.9192268365923,4753.770630576379,1229.240460141917,1020010,,Santiago
2021-06-14,91.85492120472887,7568.863556057109,3807.1134571245393,1020010,,Santiago
2021-06-15,1480.309118768716,8915.217726487017,5266.837365182113,1020010,,Santiago
2021-06-16,2899.9006638605815,10224.955915983997,6513.29976084125,1020010,,Santiago
2021-06-17,2597.4471383314344,10082.900619824877,6303.123248160597,1020010,,Santiago
2021-06-11,-103.71454230925852,3986.472788226923,2008.5689922162474,1020003,,Santiago
2021-06-12,-686.1610767368261,3657.6453833395763,1570.5833481034792,1020003,,Santiago
2021-06-13,-2629.809123931427,1517.5601875038412,-559.4208178178694,1020003,,Santiago
2021-06-14,-1806.6917869684357,2177.1386632326476,257.6665778335065,1020003,,Santiago
2021-06-15,-732.9680876070606,3299.1400195965225,1221.06318742881,1020003,,Santiago
2021-06-16,53.02836921729394,3955.4307903181484,1971.577330224577,1020003,,Santiago
2021-06-17,276.36560600193866,4213.785046353902,2287.506826483244,1020003,,Santiago
2021-06-11,1618.316713867396,5492.46922235981,3569.5340736780736,1020001,,Santiago
2021-06-12,836.6728507455579,4635.053825232112,2641.8510512787857,1020001,,Santiago
2021-06-13,-1687.3448421516139,2047.0543874078269,263.9861146599246,1020001,,Santiago
2021-06-14,-643.6881464462166,3087.8607122713183,1177.6279150506434,1020001,,Santiago
2021-06-15,628.1584900372778,4421.486459877663,2569.00878532321,1020001,,Santiago
