Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1,Tipo de cliente
2021-06-12,-0.49781369265469905,1232.0749124277731,604.5459505808597,1020253,Huechuraba,Santiago,Tradicional
2021-06-13,-250.9813727781983,965.6661795251761,330.29820388837527,1020253,Huechuraba,Santiago,Tradicional
2021-06-14,-391.01917549810827,916.7169916802814,291.40925964017083,1020253,Huechuraba,Santiago,Tradicional
2021-06-15,-240.8979455997847,979.351050159006,392.44109825546354,1020253,Huechuraba,Santiago,Tradicional
2021-06-16,-100.10000558604574,1166.5437176569958,524.0896673509828,1020253,Huechuraba,Santiago,Tradicional
2021-06-17,-99.19959271909117,1212.0944643757246,543.3339817203421,1020253,Huechuraba,Santiago,Tradicional
2021-06-18,46.57726741103745,1304.2846407242673,683.6734044448127,1020253,Huechuraba,Santiago,Tradicional
2021-06-19,-88.40590388787717,1176.831871721486,549.8459073406198,1020253,Huechuraba,Santiago,Tradicional
2021-06-12,-355.14750550532153,487.8316316056433,61.75887817583504,1020042,Huechuraba,Santiago,Tradicional
2021-06-13,-541.9407795451561,266.06509663542306,-142.79695173385144,1020042,Huechuraba,Santiago,Tradicional
2021-06-14,-579.7186523597911,295.6928756284153,-143.11040606475473,1020042,Huechuraba,Santiago,Tradicional
2021-06-15,-236.98013094781786,608.5581159186319,187.00137232319582,1020042,Huechuraba,Santiago,Tradicional
2021-06-16,-200.8621172707879,636.5846638272398,216.07236825363694,1020042,Huechuraba,Santiago,Tradicional
2021-06-17,-253.44159343616514,596.689112602957,149.56459113178943,1020042,Huechuraba,Santiago,Tradicional
2021-06-18,-230.0977836323826,665.1661044885172,218.16462188878478,1020042,Huechuraba,Santiago,Tradicional
2021-06-19,-332.8339961091413,538.579677642646,97.51878437401137,1020042,Huechuraba,Santiago,Tradicional
2021-06-12,-152.331696321613,1726.757188636083,754.5984920340813,1020027,Huechuraba,Santiago,Tradicional
2021-06-13,-657.1622873820825,1136.642384706115,296.0303773134335,1020027,Huechuraba,Santiago,Tradicional
2021-06-14,-582.4651361527048,1257.3783187229158,322.446341047573,1020027,Huechuraba,Santiago,Tradicional
2021-06-15,-98.25355248198139,1736.9940227978434,838.323943158287,1020027,Huechuraba,Santiago,Tradicional
2021-06-16,172.31299776730495,1877.427426766377,1023.8402993775144,1020027,Huechuraba,Santiago,Tradicional
2021-06-17,57.77557173982498,1865.3128247807863,995.8073853286193,1020027,Huechuraba,Santiago,Tradicional
2021-06-18,66.05288695660153,2000.9501387770106,1035.197885712003,1020027,Huechuraba,Santiago,Tradicional
2021-06-19,-44.50660626878742,1784.8280478561655,886.271684805458,1020027,Huechuraba,Santiago,Tradicional
2021-06-12,-409.79834283591424,4005.1306122243423,1894.0282772043101,1020013,Huechuraba,Santiago,Tradicional
2021-06-13,-1069.3713816519323,3371.7837679426334,1059.1065963395256,1020013,Huechuraba,Santiago,Tradicional
2021-06-14,-1086.9102557190092,3328.8752440416024,1151.260194645948,1020013,Huechuraba,Santiago,Tradicional
2021-06-15,-77.07918458777331,4248.179597245235,2117.187974906075,1020013,Huechuraba,Santiago,Tradicional
2021-06-16,-53.57447020478218,4399.210832093266,2143.6086058120095,1020013,Huechuraba,Santiago,Tradicional
2021-06-17,520.7466365837993,4841.38826926531,2548.934023606679,1020013,Huechuraba,Santiago,Tradicional
2021-06-18,478.8210011512142,4861.133038246536,2598.2038565247985,1020013,Huechuraba,Santiago,Tradicional
2021-06-19,-276.71573826813994,4146.8960621218,2047.328465416848,1020013,Huechuraba,Santiago,Tradicional
2021-06-12,412.22845571102727,2325.2845867651345,1320.6735997826488,1020010,Huechuraba,Santiago,Tradicional
2021-06-13,-1033.797044833074,807.033127225651,-82.4062301504573,1020010,Huechuraba,Santiago,Tradicional
2021-06-14,-45.59463224160155,1873.6147458997696,908.0014748056461,1020010,Huechuraba,Santiago,Tradicional
2021-06-15,362.95160449308173,2270.373709309356,1381.608626674636,1020010,Huechuraba,Santiago,Tradicional
2021-06-16,706.1536667564568,2575.7821069255847,1578.3361190862774,1020010,Huechuraba,Santiago,Tradicional
2021-06-17,707.3005631977492,2633.4894177228025,1649.9405693540643,1020010,Huechuraba,Santiago,Tradicional
2021-06-18,713.9919661039099,2632.4003692455317,1665.4002602441033,1020010,Huechuraba,Santiago,Tradicional
2021-06-19,584.0427717882707,2489.1061590319946,1553.4656659768045,1020010,Huechuraba,Santiago,Tradicional
2021-06-12,-427.9855685618214,1075.9791855030965,320.1764833950793,1020003,Huechuraba,Santiago,Tradicional
2021-06-13,-611.449739409095,877.9045366206307,112.72023423136338,1020003,Huechuraba,Santiago,Tradicional
2021-06-14,-649.4669608357493,830.4369025051959,66.18964498046257,1020003,Huechuraba,Santiago,Tradicional
2021-06-15,-425.7739966686879,1127.2241683529971,321.8672598684782,1020003,Huechuraba,Santiago,Tradicional
2021-06-16,-375.03865584406793,1159.1164112646852,384.4215259260494,1020003,Huechuraba,Santiago,Tradicional
2021-06-17,-116.03771663268644,1378.4292025694851,601.0640616564064,1020003,Huechuraba,Santiago,Tradicional
2021-06-18,-116.6805379599027,1335.6272914990748,613.8015769791423,1020003,Huechuraba,Santiago,Tradicional
2021-06-19,-414.05489000721326,1095.3826027647788,384.29909572526395,1020003,Huechuraba,Santiago,Tradicional
2021-06-12,-226.94894637211837,1364.3970551206266,521.4423030799618,1020001,Huechuraba,Santiago,Tradicional
2021-06-13,-309.3674553036652,1296.5426568446464,472.36225086903136,1020001,Huechuraba,Santiago,Tradicional
2021-06-14,-628.0458068258815,1036.7194713397175,189.61701559553492,1020001,Huechuraba,Santiago,Tradicional
2021-06-15,-310.3931732119084,1352.1048698927862,494.27781885543203,1020001,Huechuraba,Santiago,Tradicional
2021-06-16,-306.4726817748437,1371.7474205715318,496.27597212260537,1020001,Huechuraba,Santiago,Tradicional
2021-06-17,-268.17906845990456,1340.553123234912,521.9695224347282,1020001,Huechuraba,Santiago,Tradicional
2021-06-18,-91.97132360404483,1525.8272616766737,715.8163427244401,1020001,Huechuraba,Santiago,Tradicional
2021-06-19,-255.16262750535486,1282.6435176847474,550.2470219988378,1020001,Huechuraba,Santiago,Tradicional
2021-06-12,-932.8331457092623,4162.095268659246,1576.1340115641842,1010695,Huechuraba,Santiago,Tradicional
2021-06-13,-962.8970886558315,3849.5327391935953,1431.2619896056608,1010695,Huechuraba,Santiago,Tradicional
2021-06-14,-1353.9278927673745,3680.672412601719,1046.7452772153702,1010695,Huechuraba,Santiago,Tradicional
2021-06-15,-653.6703942927917,4349.2126301037415,1776.3483612314958,1010695,Huechuraba,Santiago,Tradicional
2021-06-16,91.31198160558418,5074.942959462958,2565.8072514401047,1010695,Huechuraba,Santiago,Tradicional
2021-06-17,-336.47829330403226,4673.276250911208,2223.8824485471982,1010695,Huechuraba,Santiago,Tradicional
2021-06-18,-661.9614007366305,4186.326244555243,1762.0782342557748,1010695,Huechuraba,Santiago,Tradicional
2021-06-19,-934.2158463912983,4190.424616363554,1587.6250874241027,1010695,Huechuraba,Santiago,Tradicional
2021-06-12,-1701.5388768913976,3176.717856834577,773.8244708211444,1010267,Huechuraba,Santiago,Tradicional
2021-06-13,-5258.697680655259,-41.052759526834016,-2696.036963345171,1010267,Huechuraba,Santiago,Tradicional
2021-06-14,-2656.955113609754,2205.6071752574017,-462.5965342462471,1010267,Huechuraba,Santiago,Tradicional
2021-06-15,-1633.0983821868836,2931.743948869888,674.0401242580749,1010267,Huechuraba,Santiago,Tradicional
2021-06-16,-1689.1405586720794,3367.5634507484338,822.2469780888271,1010267,Huechuraba,Santiago,Tradicional
2021-06-17,-1460.9076038996739,3453.7111466077117,1035.5865411856328,1010267,Huechuraba,Santiago,Tradicional
2021-06-18,-952.6081557119178,3947.5197460909817,1530.2020710420825,1010267,Huechuraba,Santiago,Tradicional
2021-06-19,-1559.6625052086679,3684.467102645799,1022.7329121496368,1010267,Huechuraba,Santiago,Tradicional
2021-06-12,1403.648626616471,8981.444477292522,5265.768396312116,1010078,Huechuraba,Santiago,Tradicional
2021-06-13,-4372.146600195604,3739.125597893645,-488.0095298091901,1010078,Huechuraba,Santiago,Tradicional
2021-06-14,-835.6365668826617,6594.070553864595,2755.404718897156,1010078,Huechuraba,Santiago,Tradicional
2021-06-15,2302.5569829698497,9767.884159986363,6025.846253866513,1010078,Huechuraba,Santiago,Tradicional
2021-06-16,3102.811244526325,10536.94387668125,6919.689156590341,1010078,Huechuraba,Santiago,Tradicional
2021-06-17,3290.9326029566787,10965.809119246547,7127.994573925247,1010078,Huechuraba,Santiago,Tradicional
2021-06-18,5400.781289266104,13141.59932146113,9276.15907222865,1010078,Huechuraba,Santiago,Tradicional
2021-06-19,1670.109633320957,9509.994209345425,5603.449746273935,1010078,Huechuraba,Santiago,Tradicional
2021-06-12,-217.49839285128746,935.2731579840503,337.5457935153205,1010077,Huechuraba,Santiago,Tradicional
