Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1,Tipo de cliente,Semana
2021-06-22,1202.0234788822524,4410.220324759259,2802.7651196366824,1020253,,Santiago,Tradicional,25
2021-06-23,1440.3212278264177,4723.197023339827,3109.2746817326483,1020253,,Santiago,Tradicional,25
2021-06-24,1667.7667042613293,5003.228688963749,3377.3580889096156,1020253,,Santiago,Tradicional,25
2021-06-25,2077.1370593959937,5281.8091658430085,3671.4080564075857,1020253,,Santiago,Tradicional,25
2021-06-26,1511.8202756015237,4894.295555821203,3235.4730547672293,1020253,,Santiago,Tradicional,25
2021-06-22,66.87559357792568,1514.1646889476463,759.3693208265311,1020042,,Santiago,Tradicional,25
2021-06-23,174.3967247269934,1669.5567879322657,984.9239811894047,1020042,,Santiago,Tradicional,25
2021-06-24,123.47991549669348,1503.9706296744403,813.4140598124915,1020042,,Santiago,Tradicional,25
2021-06-25,382.86452426330993,1873.9287908714593,1153.2864583403407,1020042,,Santiago,Tradicional,25
2021-06-26,161.8455196052485,1595.9932638459147,825.822955670574,1020042,,Santiago,Tradicional,25
2021-06-22,1116.5559355274793,4126.091336020879,2616.9402319152637,1020027,,Santiago,Tradicional,25
2021-06-23,1283.4902885247782,4581.2843840389105,3000.374629637365,1020027,,Santiago,Tradicional,25
2021-06-24,1360.1176883892585,4639.81937509557,2969.072360497417,1020027,,Santiago,Tradicional,25
2021-06-25,1624.356561619209,4817.5403820032025,3167.4004219775084,1020027,,Santiago,Tradicional,25
2021-06-26,914.6996915832257,4151.343948207883,2528.3269940617997,1020027,,Santiago,Tradicional,25
2021-06-22,2113.8693067410127,9856.115775920058,5955.333324601392,1020013,,Santiago,Tradicional,25
2021-06-23,2763.1649813224954,10576.214095050213,6676.6709843252775,1020013,,Santiago,Tradicional,25
2021-06-24,3334.347110210565,10720.270100501126,6971.243899097966,1020013,,Santiago,Tradicional,25
2021-06-25,3127.853820752672,10666.798682928082,7059.9857571948405,1020013,,Santiago,Tradicional,25
2021-06-26,1948.5767443683237,9376.627647818394,5777.94405098466,1020013,,Santiago,Tradicional,25
2021-06-22,2913.895476611753,7314.757741031462,4972.554955172119,1020010,,Santiago,Tradicional,25
2021-06-23,3169.976971311245,7891.895324253192,5558.78662945366,1020010,,Santiago,Tradicional,25
2021-06-24,3389.0942733206925,7932.80382740625,5660.779403226437,1020010,,Santiago,Tradicional,25
2021-06-25,3167.526175323689,7698.772893687044,5499.334797471197,1020010,,Santiago,Tradicional,25
