ds,yhat_lower,yhat_upper,yhat,Material,Oficina de Ventas Unifica,Zona de ventas.1
2021-06-07,-203.04853116253116,1318.056940729346,545.820124966752,1020253,Huechuraba,Santiago
2021-06-08,-38.21917067949623,1487.2470571974868,705.8881592478361,1020253,Huechuraba,Santiago
2021-06-09,28.889193345338356,1644.2308807278387,832.4626426654723,1020253,Huechuraba,Santiago
2021-06-10,192.19061568903635,1837.2720686538858,984.4317763939534,1020253,Huechuraba,Santiago
2021-06-11,276.26492465454413,1796.5910317496284,1028.9855472975237,1020253,Huechuraba,Santiago
2021-06-12,64.05439584745493,1679.5407286024492,875.3278694626414,1020253,Huechuraba,Santiago
2021-06-07,-660.6618378106486,271.6691530762905,-187.35661710950416,1020042,Huechuraba,Santiago
2021-06-08,-291.18242008741515,668.587746195754,173.22683449235961,1020042,Huechuraba,Santiago
2021-06-09,-299.05239187929254,641.9596325819823,170.04092365326252,1020042,Huechuraba,Santiago
2021-06-10,-337.0131053589744,634.6488546188291,132.74208451874063,1020042,Huechuraba,Santiago
2021-06-11,-290.1851986408733,612.5323645592005,168.08278972085975,1020042,Huechuraba,Santiago
2021-06-12,-458.0801802109911,468.7036430639066,9.168689005795628,1020042,Huechuraba,Santiago
2021-06-07,-684.3912822189997,1594.994566447089,422.49359310319625,1020027,Huechuraba,Santiago
2021-06-08,-79.68124576899574,2306.9727157917005,1085.2097633345618,1020027,Huechuraba,Santiago
2021-06-09,258.55908076692276,2518.6553837284528,1373.878885035033,1020027,Huechuraba,Santiago
2021-06-10,232.49950633475015,2498.543463627495,1342.3528921605375,1020027,Huechuraba,Santiago
2021-06-11,104.62801794383691,2450.944344407244,1298.7095303359424,1020027,Huechuraba,Santiago
2021-06-12,-7.01230117538341,2257.3401215928993,1097.3641472979366,1020027,Huechuraba,Santiago
2021-06-07,-1873.912583625268,3142.7722876210737,560.0770124645012,1020013,Huechuraba,Santiago
2021-06-08,-791.9243719299494,4382.875597350608,1743.9256095510063,1020013,Huechuraba,Santiago
2021-06-09,-651.0785043942461,4401.480088521039,1962.9481947720444,1020013,Huechuraba,Santiago
2021-06-10,19.476907184192246,5171.062044462995,2652.442776438867,1020013,Huechuraba,Santiago
2021-06-11,-111.37636393738178,5031.1352637237105,2527.599847746038,1020013,Huechuraba,Santiago
2021-06-12,-785.5479010832561,4110.035872849701,1643.5825511364392,1020013,Huechuraba,Santiago
2021-06-07,-403.40188301518543,1803.4550447549354,695.4297565713329,1020010,Huechuraba,Santiago
2021-06-08,134.40189472154185,2335.2793119161993,1236.0907071176919,1020010,Huechuraba,Santiago
2021-06-09,384.6172025337156,2603.6439319506935,1471.9380617478957,1020010,Huechuraba,Santiago
2021-06-10,425.9502796471082,2756.151686021771,1586.7192922720537,1020010,Huechuraba,Santiago
2021-06-11,450.2661456713822,2715.391500617949,1556.0170678077468,1020010,Huechuraba,Santiago
2021-06-12,328.1937591327918,2583.8175377126627,1417.8838587418927,1020010,Huechuraba,Santiago
2021-06-07,-1116.0150767399261,777.9170159708956,-126.76434567237095,1020003,Huechuraba,Santiago
2021-06-08,-735.5614039849222,1165.8716242936987,240.7357867002517,1020003,Huechuraba,Santiago
2021-06-09,-705.2367671246958,1153.8062669964945,307.93216288801005,1020003,Huechuraba,Santiago
2021-06-10,-276.8908989360963,1569.3371226216875,631.1551631704203,1020003,Huechuraba,Santiago
2021-06-11,-348.09470921434024,1555.2416456620851,590.302360325356,1020003,Huechuraba,Santiago
2021-06-12,-573.981475903865,1326.0037260579024,380.95895305255783,1020003,Huechuraba,Santiago
2021-06-07,-762.7570074044281,1109.0683223895542,169.79721731485262,1020001,Huechuraba,Santiago
2021-06-08,-348.8688510384132,1450.5203763477655,530.9048356534281,1020001,Huechuraba,Santiago
2021-06-09,-447.2115433326058,1516.1656270649726,506.1152467457264,1020001,Huechuraba,Santiago
2021-06-10,-422.2131850525179,1518.8699574906354,585.1171819595245,1020001,Huechuraba,Santiago
2021-06-11,-154.29158827829144,1813.8122062905063,811.703755074084,1020001,Huechuraba,Santiago
2021-06-12,-331.74706602667004,1511.3753971831884,599.9326929458665,1020001,Huechuraba,Santiago
2021-06-07,-2422.1182076279056,5047.715738538912,1244.5374464774377,1010695,Huechuraba,Santiago
2021-06-08,-1467.5592867504988,6087.613481936871,2425.7789966044,1010695,Huechuraba,Santiago
2021-06-09,-574.113779750622,7003.067117025392,3245.416470019059,1010695,Huechuraba,Santiago
