Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Sector,Tipo de cliente
2021-06-11,11820.481660933989,20820.422070517434,16362.465771076735,1020253,Cerdo,Tradicional
2021-06-12,8456.342115557763,18111.77613834834,13360.443015284558,1020253,Cerdo,Tradicional
2021-06-13,1865.2418792947776,11052.415594814167,6303.194323440183,1020253,Cerdo,Tradicional
2021-06-14,5988.744953792898,14822.419078005447,10386.701704543422,1020253,Cerdo,Tradicional
2021-06-15,7881.544931399835,17017.512966227114,12425.170827908025,1020253,Cerdo,Tradicional
2021-06-16,9495.881256179777,18691.354407575644,13969.462669907227,1020253,Cerdo,Tradicional
2021-06-17,10442.791669425504,19520.859029237214,14928.00438479317,1020253,Cerdo,Tradicional
2021-06-11,3500.082000228182,8289.97097613761,5913.521243376687,1020042,Cerdo,Tradicional
2021-06-12,1493.6568383606539,6379.3544534078455,3959.985931348461,1020042,Cerdo,Tradicional
2021-06-13,-5464.116754577946,-685.7854763611128,-3167.9923971716407,1020042,Cerdo,Tradicional
2021-06-14,293.3768456904849,5080.427417048139,2728.2809880595632,1020042,Cerdo,Tradicional
2021-06-15,2110.814388500857,7129.185021930028,4738.957760880717,1020042,Cerdo,Tradicional
2021-06-16,2096.8458159238467,6739.497030572949,4311.90656320624,1020042,Cerdo,Tradicional
2021-06-17,2415.7062585370554,7243.765316016074,4810.479703569279,1020042,Cerdo,Tradicional
2021-06-11,15359.316361730094,27878.241969478717,21556.418992650484,1020027,Cerdo,Tradicional
2021-06-12,11496.20308799435,23781.82123187436,17638.863755028164,1020027,Cerdo,Tradicional
2021-06-13,-3629.657850496247,8894.710956317027,2702.264349898094,1020027,Cerdo,Tradicional
2021-06-14,6186.309513975908,18500.96775650331,12531.544889705667,1020027,Cerdo,Tradicional
2021-06-15,13392.082847474489,25213.09967533609,18775.04274329317,1020027,Cerdo,Tradicional
2021-06-16,13708.307876902332,25761.566845861344,19786.974300389025,1020027,Cerdo,Tradicional
2021-06-17,14741.84029681783,26799.243251432425,20560.700112216757,1020027,Cerdo,Tradicional
2021-06-11,43161.518121927395,75184.79542069911,58797.87862673249,1020013,Cerdo,Tradicional
2021-06-12,27361.51707744409,58582.64947682405,43261.316191729406,1020013,Cerdo,Tradicional
2021-06-13,-16295.892293107388,12846.971703531866,-1177.1125641589242,1020013,Cerdo,Tradicional
2021-06-14,12959.849825856772,41898.231801462556,27892.69264994639,1020013,Cerdo,Tradicional
2021-06-15,26324.681149013235,56566.999263941325,41490.44571217165,1020013,Cerdo,Tradicional
2021-06-16,33433.06227200709,64587.70638089318,49036.050014214525,1020013,Cerdo,Tradicional
2021-06-17,35935.27548845137,67027.45426854756,51323.293542677675,1020013,Cerdo,Tradicional
2021-06-11,22852.64571586132,38956.929986312556,31426.234099529996,1020010,Cerdo,Tradicional
2021-06-12,17773.109696702217,34293.468465906044,26306.09524964984,1020010,Cerdo,Tradicional
2021-06-13,395.2579214950299,17663.747264478316,8877.487015530558,1020010,Cerdo,Tradicional
2021-06-14,14502.646421363976,30155.265842151573,22719.635999829527,1020010,Cerdo,Tradicional
2021-06-15,21194.443912208084,37230.046240984935,29513.424088281994,1020010,Cerdo,Tradicional
2021-06-16,23031.08285189937,38925.14913155555,30905.356652957464,1020010,Cerdo,Tradicional
2021-06-17,23772.736908457802,40650.90912716006,32759.931127447824,1020010,Cerdo,Tradicional
2021-06-11,3024.2567789097743,12865.029749083325,7984.02169171728,1020003,Cerdo,Tradicional
2021-06-12,1060.5753657414598,11708.331183947774,6450.198849722311,1020003,Cerdo,Tradicional
2021-06-13,-6053.358819111613,3848.478240653355,-1216.7113083793056,1020003,Cerdo,Tradicional
2021-06-14,-2463.415989454207,7819.604370375855,2602.849984736384,1020003,Cerdo,Tradicional
2021-06-15,418.2977391424998,11316.747163841272,5528.127883783299,1020003,Cerdo,Tradicional
2021-06-16,1680.5103053601463,12254.229579638712,6973.353792892553,1020003,Cerdo,Tradicional
2021-06-17,2824.931259361004,13419.887553579423,8203.2833612962,1020003,Cerdo,Tradicional
2021-06-11,10585.689027048935,20941.931292147972,15470.668863188854,1020001,Cerdo,Tradicional
2021-06-12,8154.590987948288,18250.675315678873,13189.288073363969,1020001,Cerdo,Tradicional
2021-06-13,-2566.733878699395,7534.572530263018,2463.2390636172713,1020001,Cerdo,Tradicional
2021-06-14,3921.0604937720354,14048.909604737728,8668.641393382835,1020001,Cerdo,Tradicional
2021-06-15,6960.9295372631905,16972.921605838652,11956.948285899085,1020001,Cerdo,Tradicional
2021-06-16,7749.4464575049715,17536.155070742614,12602.101291297538,1020001,Cerdo,Tradicional
2021-06-17,8762.809515057881,18093.870582886677,13595.700667213701,1020001,Cerdo,Tradicional
2021-06-11,5296.034435331579,24330.461461013037,14460.589966752457,1010695,Pollo,Tradicional
2021-06-12,1685.8092287609572,19357.568382274556,10829.8626801868,1010695,Pollo,Tradicional
2021-06-13,-7924.266945143076,10716.61583103118,1289.2017255409883,1010695,Pollo,Tradicional
