Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1
2021-06-12,4.753453159569572,541.6697479416425,276.3890957825356,1020253,Antofagasta,Norte
2021-06-13,-189.21453287115867,356.293835032543,74.823879414099,1020253,Antofagasta,Norte
2021-06-14,-177.5440533907093,360.63927980021145,101.70862282803849,1020253,Antofagasta,Norte
2021-06-15,-168.37868924240715,380.58503055337684,98.0746338203563,1020253,Antofagasta,Norte
2021-06-16,-141.4343274709107,372.0693512766104,123.95980672605864,1020253,Antofagasta,Norte
2021-06-17,-106.28454719050735,446.39666502845336,170.96271259689607,1020253,Antofagasta,Norte
2021-06-18,-34.81704383084961,528.6561815021811,246.3598100752223,1020253,Antofagasta,Norte
2021-06-19,29.124953562718147,574.7930271202251,303.4351154796043,1020253,Antofagasta,Norte
2020-03-15,90.59192312080287,90.59192415213371,90.59192365106028,1020042,Antofagasta,Norte
2020-03-16,111.69236716932387,111.69237046659812,111.69236899107929,1020042,Antofagasta,Norte
2020-03-17,132.21971261761766,132.21971880526561,132.2197159812755,1020042,Antofagasta,Norte
2020-03-18,152.086860681881,152.08687025358654,152.08686595032424,1020042,Antofagasta,Norte
2020-03-19,171.19445756696766,171.19447174047545,171.19446537620254,1020042,Antofagasta,Norte
2020-03-20,189.42490966057298,189.42492907997544,189.4249202026004,1020042,Antofagasta,Norte
2020-03-21,206.63746159402257,206.63748610598108,206.6374747293246,1020042,Antofagasta,Norte
2020-03-22,222.66457099261245,222.66460138036706,222.66458726624754,1020042,Antofagasta,Norte
2021-06-12,-43.746949575483235,726.3249464133677,333.83818755728913,1020027,Antofagasta,Norte
2021-06-13,-132.86476131901813,592.2874917690008,232.39080546046787,1020027,Antofagasta,Norte
2021-06-14,-202.3009361374946,569.4272399102175,198.06311229433754,1020027,Antofagasta,Norte
2021-06-15,10.262641743467956,764.4362108906945,395.9177078087123,1020027,Antofagasta,Norte
2021-06-16,-79.19875443590973,667.0323922496012,278.8308090902478,1020027,Antofagasta,Norte
2021-06-17,-137.12969414954264,643.4408980647055,252.0092887356197,1020027,Antofagasta,Norte
2021-06-18,-106.45558432261707,668.4521333629946,295.7516287474389,1020027,Antofagasta,Norte
2021-06-19,-145.86675978859546,659.9408844655381,227.6988284472829,1020027,Antofagasta,Norte
2021-06-12,-272.4963484055854,838.919595184807,293.16810376869535,1020013,Antofagasta,Norte
2021-06-13,-334.66478823999734,666.1528232715445,167.249172888124,1020013,Antofagasta,Norte
2021-06-14,-416.5241187826905,605.3461147488706,90.81914896253647,1020013,Antofagasta,Norte
2021-06-15,-298.1072864947229,755.4746240598103,202.61055392272158,1020013,Antofagasta,Norte
2021-06-16,-366.63429148022465,664.964036694284,153.47285078536547,1020013,Antofagasta,Norte
2021-06-17,-288.3337949183392,716.0284279710761,213.2654096942087,1020013,Antofagasta,Norte
2021-06-18,-196.63109415547845,855.565241592212,322.5642644925587,1020013,Antofagasta,Norte
2021-06-19,-256.51497764170244,755.7229336616542,219.51891226799893,1020013,Antofagasta,Norte
2021-06-12,100.95579068681693,620.7700225213558,367.96797196225623,1020010,Antofagasta,Norte
2021-06-13,168.2129885298139,665.4747356560807,425.2642716051028,1020010,Antofagasta,Norte
