Cliente - Local.1;Oficina de Ventas Unifica;Subtipo de cliente;Cluster BW
3200104287;T105;Espec. en Crudos;Sin asignar
3200154991;T105;Espec. en Crudos;Clásico
3200153241;T105;Espec. en Crudos;Clásico
20064;T105;Espec. en Crudos;Clásico
46142;T105;Espec. en Crudos;Clásico
3200148795;T105;Espec. en Crudos;Sin asignar
3200124590;T105;Emprendedores;Clásico
3200085870;T105;Emprendedores;Clásico
29388;T105;Espec. en Crudos;Clásico
3200118669;T105;Espec. en Crudos;Clásico
3200121696;T105;Espec. en Crudos;Clásico
3200013002;T105;Espec. en Crudos;Clásico
3200121687;T105;Espec. en Procesados;Clásico
91042;T105;Multiespecialista;Premium
3200117435;T105;Emprendedores;Clásico
5571;T105;Emprendedores;Clásico
3200109351;T105;Espec. en Crudos;Clásico
37645;T105;Espec. en Crudos;Clásico
3200127382;T105;Espec. en Crudos;Premium
3200112881;T105;Espec. en Procesados;Clásico
36615;T105;Multiespecialista;Clásico
52022;T105;Multiespecialista;Premium
3200167757;T105;Espec. en Crudos;Clásico
90363;T105;Espec. en Crudos;Clásico
3200027162;T105;Multiespecialista;Clásico
3200134060;T105;Multiespecialista;Clásico
3200122849;T105;Multiespecialista;Premium
3200102010;T105;Espec. en Procesados;Clásico
3200004835;T105;Multiespecialista;Clásico
90811;T105;Multiespecialista;Premium
41807;T105;Multiespecialista;Premium
75465;T105;Multiespecialista;Premium
3200132491;T105;Multiespecialista;Premium
3200071290;T105;Multiespecialista;Premium
3200148279;T105;Multiespecialista;Sin asignar
3200018331;T105;Emprendedores;Clásico
3200139317;T105;Espec. en Crudos;Clásico
82316;T105;Espec. en Crudos;Clásico
3200146894;T105;Espec. en Crudos;Sin asignar
3200001604;T105;Multiespecialista;Clásico
3200158845;T105;Multiespecialista;Clásico
3200139699;T105;Multiespecialista;Clásico
3200080994;T105;Multiespecialista;Premium
36584;T105;Multiespecialista;Premium
86698;T105;Multiespecialista;Clásico
3200062779;T105;Multiespecialista;Clásico
31084;T105;Multiespecialista;Premium
3200051452;T105;Emprendedores;Clásico
3200129280;T105;Espec. en Crudos;Clásico
7054;T105;Espec. en Crudos;Clásico
3200155253;T105;Espec. en Crudos;Clásico
3200083743;T105;Espec. en Procesados;Clásico
3200082672;T105;Multiespecialista;Clásico
3200055979;T105;Espec. en Crudos;Premium
3200054336;T105;Multiespecialista;Clásico
3200008795;T105;Espec. en Crudos;Clásico
36038;T105;Espec. en Crudos;Clásico
44379;T105;Espec. en Crudos;Clásico
3200108261;T105;Espec. en Crudos;Clásico
9657;T105;Multiespecialista;Clásico
3200133517;T105;Multiespecialista;Clásico
3200131691;T105;Espec. en Crudos;Clásico
14541;T105;Multiespecialista;Premium
11995;T105;Emprendedores;Clásico
6293;T105;Espec. en Crudos;Clásico
3200071534;T105;Espec. en Procesados;Clásico
23822;T105;Espec. en Procesados;Premium
3200072431;T105;Multiespecialista;Clásico
3200009888;T105;Multiespecialista;Premium
3200146089;T105;Multiespecialista;Sin asignar
3200133771;T105;Espec. en Crudos;Premium
20656;T105;Multiespecialista;Clásico
84333;T105;Multiespecialista;Clásico
78184;T105;Espec. en Crudos;Clásico
3200124725;T105;Espec. en Crudos;Clásico
3200083725;T105;Espec. en Crudos;Premium
82027;T105;Espec. en Crudos;Premium
3200151085;T105;Espec. en Crudos;Sin asignar
3200099637;T105;Espec. en Procesados;Clásico
67425;T105;Vendedores;Clásico
3200160798;T105;Emprendedores;Clásico
3200129940;T105;Emprendedores;Clásico
