Cliente - Local.1;Tipo de Semana 4;Tipo de Semana 3;Tipo de Semana 2;Tipo de Semana 1;Tipo de Semana 0
3200104287;;;;2.0;1.5
3200154991;;2.8;;2.6666666666666665;2.2857142857142856
3200153241;3.0;2.3333333333333335;1.0;;1.6666666666666667
46142;;2.0;2.0;1.0;2.1333333333333333
3200148795;;;;0.0;1.5
3200124590;;;;;0.0
29388;;2.0;1.4;3.4;1.4615384615384615
3200121696;;;0.0;3.5;
3200013002;;1.0;1.6666666666666667;2.4;1.2857142857142858
91042;;;2.0;1.6666666666666667;1.2
3200127382;;;2.5;4.0;2.4
3200112881;;;;;2.0
36615;;;;0.0;
52022;;3.0;;;1.0
3200167757;;2.0;;2.0;2.0
90363;;4.0;1.0;2.125;2.0
3200027162;;;;;0.0
3200134060;;;;;2.0
3200122849;;;2.0;;2.0
3200102010;;;1.0;3.0;1.5
3200004835;;2.6666666666666665;3.0;1.5;
90811;;;;;3.0
41807;;;3.0;3.3333333333333335;1.2857142857142858
3200132491;;;0.0;;1.0
3200148279;;2.0;2.0;3.2;1.5555555555555556
3200018331;;;;;1.0
3200139317;;;1.5;2.5;2.4285714285714284
3200146894;;;;;2.0
3200001604;;;;;1.0
3200158845;;;;2.0;0.0
3200139699;;;2.0;3.0;
3200080994;2.0;;;;1.0
36584;;2.2;2.0;2.6666666666666665;1.5555555555555556
86698;3.0;2.3333333333333335;2.75;2.6363636363636362;2.0588235294117645
3200062779;;;;;1.0
7054;;;;;0.0
3200155253;;;;3.0;1.2941176470588236
3200083743;;;;;1.0
3200082672;;;;;2.0
3200055979;;0.0;1.3333333333333333;1.5;0.875
3200054336;;;;;0.0
3200008795;;1.5;3.0;2.75;
36038;;;;2.0;
9657;;;;1.0;
3200133517;;2.6666666666666665;2.6666666666666665;3.142857142857143;1.8333333333333333
14541;;;;;1.5
3200071534;;0.0;0.0;;
3200009888;;;;1.0;2.0
3200146089;;2.0;;;0.0
3200133771;;;;;1.0
20656;;;;0.0;
84333;;3.0;;;0.0
3200124725;;;;;0.5
3200083725;;2.3333333333333335;1.5;2.176470588235294;1.2
82027;;;3.0;;2.0
3200151085;;;;;1.3333333333333333
3200099637;;;;;1.6
67425;;3.0;1.0;;
3200160798;;;;;1.3333333333333333
3200129940;;;;;0.0
3200157297;;2.8;2.3333333333333335;2.5384615384615383;1.7307692307692308
15756;;2.5;3.0;2.0;
3200176705;;;;;2.5
3200079094;;2.0;2.0;2.0;1.3
79603;;;2.0;;2.0
3200078035;;2.3333333333333335;1.8333333333333333;2.0;1.6428571428571428
3200151253;;;;3.0;
59679;;1.0;0.6666666666666666;1.3333333333333333;1.5
3200085205;;;0.0;;
27290;3.5;2.1904761904761907;2.2;2.7096774193548385;2.0833333333333335
60964;;;;;0.0
44833;;;;;1.0
3200039585;;;;;3.0
3200119453;2.0;;;2.5;3.25
3200091182;;;;;1.0
3200006707;;;;;1.0
3200121998;;;;3.0;2.0
26324;;;;;0.5
3200142128;;;2.0;;
28130;;;;;4.0
3200143285;;2.125;2.066666666666667;1.9655172413793103;1.6046511627906976
3200158872;;;;;1.0
3200039386;;;2.0;2.0;
3200018326;;;;;0.0
3200080009;;;2.0;3.0;2.3333333333333335
62093;;;;0.0;
16393;;;;;2.0
3200154124;;;2.0;2.3333333333333335;
3200004836;;;;;0.0
3200160822;;;;;0.0
3200123232;;;;;2.0
3200138379;3.0;3.0;;;1.4
3200100902;3.0;2.888888888888889;3.2857142857142856;3.1666666666666665;2.68
