Cliente - Local.1;"Precio Pond CLP 
 Tipo de Semana 4";"Kilos Venta KG promedio 
 Tipo de Semana 4";"Precio Pond CLP 
 Tipo de Semana 3";"Kilos Venta KG promedio 
 Tipo de Semana 3";"Precio Pond CLP 
 Tipo de Semana 2";"Kilos Venta KG promedio 
 Tipo de Semana 2";"Precio Pond CLP 
 Tipo de Semana 1";"Kilos Venta KG promedio 
 Tipo de Semana 1";"Precio Pond CLP 
 Tipo de Semana 0";"Kilos Venta KG promedio 
 Tipo de Semana 0";Tipo de Semana 4;Tipo de Semana 3;Tipo de Semana 2;Tipo de Semana 1;Tipo de Semana 0
3200104287;;;;;;;4273.210526315789;28.5;3820.3030303030305;33.0;;;;2.0;1.5
3200154991;;;4702.014925373134;26.8;;;4287.885254983224;33.333333333333336;4056.982431584307;34.0;;2.8;;2.6666666666666665;2.2857142857142856
3200153241;5405.993216317166;16.0;4725.214496843103;23.333333333333332;5014.7703404614585;12.0;;;3867.4491017432215;27.333333333333332;3.0;2.3333333333333335;1.0;;1.6666666666666667
46142;;;4475.226022990348;21.5;5453.7703404614585;18.0;3431.2990452407407;86.33333333333333;4043.008391722321;43.46666666666667;;2.0;2.0;1.0;2.1333333333333333
3200148795;;;;;;;3276.7646575222625;38.666666666666664;3348.784623829033;40.25;;;;0.0;1.5
3200124590;;;;;;;;;2869.58301558837;25.0;;;;;0.0
29388;;;4455.504065040651;41.0;5091.186354211309;43.6;4542.6439754415605;42.8;3215.8933564311396;36.0;;2.0;1.4;3.4;1.4615384615384615
3200121696;;;;;4614.7703404614585;49.0;4792.122168587978;21.0;;;;;0.0;3.5;
3200013002;;;3765.1008161622976;74.5;5170.968539477719;79.0;4297.923139461765;61.8;3508.0460355815876;49.57142857142857;;1.0;1.6666666666666667;2.4;1.2857142857142858
91042;;;;;4857.385170230729;173.0;3496.7438118539285;168.0;3047.319439157317;162.2;;;2.0;1.6666666666666667;1.2
3200127382;;;;;5571.278363089298;31.0;5171.913835254645;20.0;4355.132036455976;26.733333333333334;;;2.5;4.0;2.4
3200112881;;;;;;;;;3960.7368421052633;19.0;;;;;2.0
36615;;;;;;;3182.7888352546443;60.0;;;;;;0.0;
52022;;;4790.0;23.0;;;;;3569.58301558837;21.0;;3.0;;;1.0
3200167757;;;4200.0;36.0;;;4300.0;17.0;4216.333333333333;27.0;;2.0;;2.0;2.0
90363;;;5142.295790432208;18.0;5092.385170230729;20.0;4285.548110419281;22.75;4123.28345797342;31.285714285714285;;4.0;1.0;2.125;2.0
3200027162;;;;;;;;;2469.58301558837;25.0;;;;;0.0
3200134060;;;;;;;;;4100.0;24.0;;;;;2.0
3200122849;;;;;4807.385170230729;365.0;;;3600.0;72.0;;;2.0;;2.0
3200102010;;;;;4633.0;82.0;4345.0;70.0;3838.657142857143;17.5;;;1.0;3.0;1.5
3200004835;;;4691.1506849315065;24.333333333333332;6040.385170230729;15.0;4140.051605454818;22.0;;;;2.6666666666666665;3.0;1.5;
90811;;;;;;;;;3639.16603117674;168.0;;;;;3.0
41807;;;;;5704.578851099756;23.5;4822.125656682612;20.333333333333332;3568.5464163028246;23.285714285714285;;;3.0;3.3333333333333335;1.2857142857142858
3200132491;;;;;4614.7703404614585;22.0;;;3269.5830155883705;53.0;;;0.0;;1.0
3200148279;;;4292.0;58.0;5042.956970728359;169.66666666666666;4468.274490034704;92.4;3260.913778155002;109.33333333333333;;2.0;2.0;3.2;1.5555555555555556
3200018331;;;;;;;;;3500.0;26.0;;;;;1.0
3200139317;;;;;5098.103673794792;33.0;4282.788835254644;51.0;3995.72853117674;41.142857142857146;;;1.5;2.5;2.4285714285714284
3200146894;;;;;;;;;3939.16603117674;20.0;;;;;2.0
3200001604;;;;;;;;;3600.0;21.0;;;;;1.0
3200158845;;;;;;;4131.638320066347;20.5;2869.58301558837;40.0;;;;2.0;0.0
3200139699;;;;;5407.385170230729;18.0;4556.394417627322;26.0;;;;;2.0;3.0;
3200080994;5575.0;103.0;;;;;;;2861.7973013026563;147.0;2.0;;;;1.0
