"Salidas v/s Stock (con lotes)"
"USUARIO:"
"TRAEGER BRAUTIGAM, ROLF ALBERT"
"/"
"Última actualización de datos"
"26.05.2021 09:16:35"
"Visualizar como"
"Sector";"Material";"Zona de ventas";"Oficina de ventas";"Oficina de ventas";"Año natural/Semana";"Día natural";"Vida Útil Restante";"Stock"
"Cerdo";"1020003";"Sur";"T019";"Punta Arenas";"01.2020";"30.12.2019";"8";"111,8"
"Cerdo";"1020003";"Sur";"T019";"Punta Arenas";"01.2020";"31.12.2019";"7";"111,8"
"Cerdo";"1020003";"Sur";"T019";"Punta Arenas";"01.2020";"02.01.2020";"5";"111,8"
"Cerdo";"1020003";"Sur";"T019";"Punta Arenas";"01.2020";"03.01.2020";"4";"111,8"
"Cerdo";"1020003";"Sur";"T019";"Punta Arenas";"01.2020";"04.01.2020";"3";"111,8"
"Cerdo";"1020003";"Sur";"T019";"Punta Arenas";"45.2020";"03.11.2020";"8";"36,8"
"Cerdo";"1020003";"Sur";"T019";"Punta Arenas";"45.2020";"04.11.2020";"7";"18,4"
"Cerdo";"1020003";"Sur";"T019";"Punta Arenas";"45.2020";"05.11.2020";"6";"18,4"
"Cerdo";"1020003";"Sur";"T019";"Punta Arenas";"45.2020";"06.11.2020";"5";"18,4"
"Cerdo";"1020003";"Sur";"T154";"Coyhaique";"15.2021";"12.04.2021";"8";"59,0"
"Cerdo";"1020003";"Sur";"T154";"Coyhaique";"15.2021";"13.04.2021";"7";"59,0"
"Cerdo";"1020003";"Sur";"T154";"Coyhaique";"15.2021";"14.04.2021";"6";"59,0"
"Cerdo";"1020003";"Sur";"T154";"Coyhaique";"15.2021";"15.04.2021";"5";"19,7"
"Cerdo";"1020003";"Norte";"T061";"Arica";"04.2020";"21.01.2020";"8";"221,1"
"Cerdo";"1020003";"Norte";"T061";"Arica";"04.2020";"22.01.2020";"8";"246,6"
"Cerdo";"1020003";"Norte";"T061";"Arica";"04.2020";"23.01.2020";"7";"315,3"
"Cerdo";"1020003";"Norte";"T061";"Arica";"04.2020";"24.01.2020";"6";"295,4"
"Cerdo";"1020003";"Norte";"T061";"Arica";"04.2020";"25.01.2020";"6";"235,2"
"Cerdo";"1020003";"Sur";"T049";"Castro";"04.2020";"21.01.2020";"8";"103,4"
"Cerdo";"1020003";"Sur";"T049";"Castro";"04.2020";"22.01.2020";"8";"124,8"
"Cerdo";"1020003";"Sur";"T049";"Castro";"04.2020";"23.01.2020";"8";"132,6"
"Cerdo";"1020003";"Sur";"T049";"Castro";"04.2020";"24.01.2020";"7";"132,6"
"Cerdo";"1020003";"Sur";"T049";"Castro";"04.2020";"25.01.2020";"6";"111,9"
"Cerdo";"1020003";"Santiago";"T117";"Lo Espejo";"03.2021";"18.01.2021";"8";"1.154,7"
"Cerdo";"1020003";"Santiago";"T117";"Lo Espejo";"03.2021";"19.01.2021";"7";"1.876,3"
"Cerdo";"1020003";"Santiago";"T117";"Lo Espejo";"03.2021";"20.01.2021";"8";"2.364,1"
"Cerdo";"1020003";"Santiago";"T117";"Lo Espejo";"03.2021";"21.01.2021";"8";"2.793,6"
"Cerdo";"1020003";"Santiago";"T117";"Lo Espejo";"03.2021";"22.01.2021";"7";"3.337,4"
"Cerdo";"1020003";"Santiago";"T117";"Lo Espejo";"03.2021";"23.01.2021";"7";"2.003,0"
"Cerdo";"1020003";"Centro Sur";"T104";"Concepcion";"16.2021";"19.04.2021";"8";"1.822,9"
"Cerdo";"1020003";"Centro Sur";"T104";"Concepcion";"16.2021";"20.04.2021";"7";"1.775,2"
"Cerdo";"1020003";"Centro Sur";"T104";"Concepcion";"16.2021";"21.04.2021";"6";"1.596,1"
"Cerdo";"1020003";"Centro Sur";"T104";"Concepcion";"16.2021";"22.04.2021";"6";"1.628,4"
"Cerdo";"1020003";"Centro Sur";"T104";"Concepcion";"16.2021";"23.04.2021";"6";"1.533,1"
"Cerdo";"1020003";"Centro Sur";"T104";"Concepcion";"16.2021";"24.04.2021";"8";"1.248,0"
"Cerdo";"1020003";"Sur";"T110";"Osorno";"16.2021";"19.04.2021";"8";"409,3"
"Cerdo";"1020003";"Sur";"T110";"Osorno";"16.2021";"20.04.2021";"8";"744,9"
"Cerdo";"1020003";"Sur";"T110";"Osorno";"16.2021";"21.04.2021";"7";"1.103,3"
"Cerdo";"1020003";"Sur";"T110";"Osorno";"16.2021";"22.04.2021";"7";"1.143,0"
"Cerdo";"1020003";"Sur";"T110";"Osorno";"16.2021";"23.04.2021";"7";"1.174,6"
"Cerdo";"1020003";"Sur";"T110";"Osorno";"16.2021";"24.04.2021";"8";"827,8"
"Cerdo";"1020003";"Norte";"T062";"Iquique";"52.2020";"21.12.2020";"8";"39,7"
"Cerdo";"1020003";"Norte";"T062";"Iquique";"52.2020";"22.12.2020";"7";"39,7"
"Cerdo";"1020003";"Norte";"T062";"Iquique";"52.2020";"23.12.2020";"7";"77,6"
"Cerdo";"1020003";"Norte";"T062";"Iquique";"52.2020";"24.12.2020";"7";"37,9"
"Cerdo";"1020003";"Norte";"T062";"Iquique";"52.2020";"25.12.2020";"6";"37,9"
"Cerdo";"1020003";"Norte";"T062";"Iquique";"52.2020";"26.12.2020";"5";"37,9"
"Cerdo";"1020003";"Sur";"T019";"Punta Arenas";"04.2020";"23.01.2020";"9";"22,0"
"Cerdo";"1020003";"Sur";"T019";"Punta Arenas";"04.2020";"24.01.2020";"8";"22,0"
"Cerdo";"1020003";"Sur";"T019";"Punta Arenas";"04.2020";"25.01.2020";"7";"22,0"
"Cerdo";"1020003";"Centro Sur";"T012";"Los Angeles";"24.2020";"08.06.2020";"8";"1.907,8"
"Cerdo";"1020003";"Centro Sur";"T012";"Los Angeles";"24.2020";"09.06.2020";"7";"1.953,7"
"Cerdo";"1020003";"Centro Sur";"T012";"Los Angeles";"24.2020";"10.06.2020";"7";"2.307,1"
